ID,menuID,orderID,quantity,cost
210,16,111,2,5.15
211,15,112,1,7.23
212,10,113,2,5.1
213,7,113,2,6.72
214,1,113,2,6.83
215,5,114,1,5.19
216,18,114,2,6.73
217,14,115,2,5.75
218,7,115,2,6.72
219,18,116,2,6.73
220,8,116,2,7.22
221,17,117,1,6.13
222,9,117,2,4.52
223,4,118,1,6.15
224,14,118,2,5.75
225,11,118,2,5.77
226,9,119,1,4.52
227,12,120,2,6.4
228,5,121,1,5.19
229,3,121,2,5.42
230,10,121,2,5.1
231,15,122,1,7.23
232,8,123,1,7.22
233,1,123,2,6.83
234,2,124,2,4.79
235,17,125,2,6.13
236,13,126,1,6.64
237,2,127,1,4.79
238,9,128,2,4.52
239,14,129,2,5.75
240,18,129,1,6.73
241,16,130,1,5.15
242,1,130,1,6.83
243,17,130,2,6.13
244,3,131,2,5.42
245,12,131,1,6.4
246,14,132,1,5.75
247,12,132,1,6.4
248,9,132,1,4.52
249,6,133,1,5.68
250,9,134,1,4.52
251,13,134,2,6.64
252,18,134,2,6.73
253,4,135,2,6.15
254,19,136,1,5.24
255,9,136,1,4.52
256,7,136,1,6.72
257,10,137,2,5.1
258,18,137,2,6.73
259,4,137,1,6.15
260,12,138,2,6.4
261,8,139,1,7.22
262,2,139,1,4.79
263,13,139,2,6.64
264,11,140,2,5.77
265,17,141,1,6.13
266,15,142,1,7.23
267,13,143,1,6.64
268,7,144,2,6.72
269,3,144,1,5.42
270,20,145,1,7.14
271,17,146,2,6.13
272,16,146,2,5.15
273,7,146,2,6.72
274,6,147,1,5.68
275,7,148,1,6.72
276,18,148,2,6.73
277,16,149,1,5.15
278,12,149,1,6.4
279,6,149,2,5.68
280,8,150,1,7.22
281,7,151,1,6.72
282,12,151,1,6.4
283,10,151,2,5.1
284,15,152,2,7.23
285,19,152,2,5.24
286,17,153,2,6.13
287,3,153,1,5.42
288,5,153,1,5.19
289,17,154,2,6.13
290,10,154,2,5.1
291,2,154,2,4.79
292,12,155,2,6.4
293,14,155,2,5.75
294,2,156,2,4.79
295,18,156,1,6.73
296,1,156,2,6.83
297,3,157,2,5.42
298,2,157,2,4.79
299,9,157,2,4.52
300,15,158,2,7.23
301,5,158,1,5.19
302,18,158,2,6.73
303,12,159,1,6.4
304,1,159,2,6.83
305,10,159,1,5.1
306,8,160,2,7.22
307,11,160,2,5.77
308,20,161,1,7.14
309,14,161,1,5.75
310,17,162,2,6.13
311,18,163,2,6.73
312,15,163,2,7.23
313,4,164,2,6.15
314,20,164,2,7.14
315,4,165,2,6.15
316,2,166,1,4.79
317,9,166,1,4.52
318,17,166,1,6.13
319,9,167,2,4.52
320,19,167,2,5.24
321,2,168,1,4.79
322,5,168,1,5.19
323,14,169,2,5.75
324,5,170,2,5.19
325,9,171,1,4.52
326,8,171,1,7.22
327,4,172,1,6.15
328,9,172,2,4.52
329,10,173,1,5.1
330,12,173,2,6.4
331,6,173,2,5.68
332,18,174,2,6.73
333,13,174,1,6.64
334,13,175,2,6.64
335,8,175,2,7.22
336,14,176,1,5.75
337,2,176,1,4.79
338,17,177,2,6.13
339,18,177,1,6.73
340,9,177,2,4.52
341,3,178,2,5.42
342,7,179,1,6.72
343,13,179,2,6.64
344,6,180,1,5.68
345,5,181,2,5.19
346,14,181,2,5.75
347,8,181,2,7.22
348,13,182,2,6.64
349,2,182,1,4.79
350,20,182,2,7.14
351,1,183,2,6.83
352,19,183,2,5.24
353,11,183,1,5.77
354,2,184,2,4.79
355,9,185,2,4.52
356,18,185,1,6.73
357,2,185,2,4.79
358,1,186,2,6.83
359,8,186,1,7.22
360,1,187,2,6.83
361,9,187,2,4.52
362,15,188,2,7.23
363,3,188,2,5.42
364,3,189,2,5.42
365,14,189,2,5.75
366,11,189,1,5.77
367,16,190,1,5.15
368,12,190,1,6.4
369,8,191,2,7.22
370,10,191,2,5.1
371,9,191,2,4.52
372,4,192,1,6.15
373,8,192,1,7.22
374,16,193,2,5.15
375,9,193,2,4.52
376,10,194,2,5.1
377,8,195,1,7.22
378,17,195,2,6.13
379,10,196,1,5.1
380,7,197,1,6.72
381,10,198,1,5.1
382,4,199,1,6.15
383,12,199,2,6.4
384,2,199,1,4.79
385,14,200,1,5.75
386,17,200,2,6.13
387,18,200,2,6.73
388,13,201,1,6.64
389,18,201,1,6.73
390,17,201,2,6.13
391,12,202,1,6.4
392,19,203,2,5.24
393,9,204,1,4.52
394,2,204,2,4.79
395,16,204,2,5.15
396,3,205,2,5.42
397,15,205,1,7.23
398,10,205,2,5.1
399,19,206,1,5.24
400,8,206,1,7.22
401,4,206,2,6.15
402,3,207,2,5.42
403,9,207,1,4.52
404,3,208,1,5.42
405,9,208,2,4.52
406,6,208,2,5.68
407,20,209,1,7.14
408,17,209,2,6.13
409,6,209,1,5.68
410,19,210,2,5.24
411,7,210,1,6.72
412,5,210,2,5.19
413,19,211,2,5.24
414,16,211,1,5.15
415,13,211,1,6.64
416,7,212,1,6.72
417,9,212,2,4.52
418,15,213,2,7.23
419,14,213,1,5.75
420,17,213,1,6.13
421,7,214,1,6.72
422,13,214,1,6.64
423,1,215,2,6.83
424,5,216,1,5.19
425,9,216,1,4.52
426,5,217,2,5.19
427,13,217,1,6.64
428,8,218,1,7.22
429,18,219,1,6.73
430,17,219,1,6.13
431,8,219,1,7.22
432,10,220,2,5.1
433,10,221,2,5.1
434,2,222,1,4.79
435,9,223,1,4.52
436,2,223,1,4.79
437,11,223,2,5.77
438,2,224,1,4.79
439,12,224,2,6.4
440,6,225,1,5.68
441,11,226,2,5.77
442,17,226,2,6.13
443,16,226,2,5.15
444,13,227,2,6.64
445,10,227,1,5.1
446,17,227,1,6.13
447,14,228,1,5.75
448,6,228,2,5.68
449,5,228,2,5.19
450,16,229,2,5.15
451,2,230,2,4.79
452,8,230,1,7.22
453,5,231,1,5.19
454,15,231,2,7.23
455,15,232,1,7.23
456,11,233,2,5.77
457,20,233,2,7.14
458,16,233,2,5.15
459,9,234,1,4.52
460,15,234,2,7.23
461,15,235,2,7.23
462,4,236,2,6.15
463,11,236,2,5.77
464,13,236,2,6.64
465,9,237,2,4.52
466,5,237,2,5.19
467,13,237,1,6.64
468,5,238,1,5.19
469,10,238,1,5.1
470,12,239,1,6.4
471,19,239,1,5.24
472,18,240,2,6.73
473,10,241,2,5.1
474,7,241,2,6.72
475,1,242,2,6.83
476,20,242,2,7.14
477,17,242,1,6.13
478,19,243,2,5.24
479,12,243,1,6.4
480,14,243,2,5.75
481,10,244,2,5.1
482,5,244,2,5.19
483,4,245,1,6.15
484,17,245,2,6.13
485,13,245,2,6.64
486,7,246,1,6.72
487,19,246,1,5.24
488,8,247,2,7.22
489,13,248,1,6.64
490,14,248,1,5.75
491,7,248,1,6.72
492,4,249,1,6.15
493,15,250,1,7.23
494,19,250,1,5.24
495,16,251,2,5.15
496,1,251,1,6.83
497,12,251,1,6.4
498,3,252,2,5.42
499,8,252,2,7.22
500,18,253,1,6.73
501,6,254,1,5.68
502,1,254,1,6.83
503,8,254,2,7.22
504,19,255,2,5.24
505,8,255,1,7.22
506,13,256,1,6.64
507,12,256,1,6.4
508,13,257,2,6.64
509,10,257,1,5.1
510,6,257,2,5.68
511,7,258,1,6.72
512,16,258,1,5.15
513,6,258,1,5.68
514,16,259,1,5.15
515,1,260,2,6.83
516,10,260,1,5.1
517,18,261,1,6.73
518,6,261,2,5.68
519,20,262,2,7.14
520,5,262,2,5.19
521,4,262,1,6.15
522,12,263,2,6.4
523,2,264,2,4.79
524,6,264,2,5.68
525,1,265,2,6.83
526,15,265,1,7.23
527,10,265,2,5.1
528,11,266,2,5.77
529,18,266,2,6.73
530,2,267,1,4.79
531,16,267,2,5.15
532,1,267,1,6.83
533,20,268,2,7.14
534,19,269,2,5.24
535,4,269,1,6.15
536,2,270,2,4.79
537,10,270,1,5.1
538,3,271,2,5.42
539,17,272,1,6.13
540,4,273,1,6.15
541,6,274,2,5.68
542,2,275,2,4.79
543,18,276,1,6.73
544,19,276,1,5.24
545,3,276,2,5.42
546,8,277,2,7.22
547,7,277,1,6.72
548,7,278,2,6.72
549,18,279,2,6.73
550,20,279,1,7.14
551,9,280,1,4.52
552,13,280,2,6.64
553,13,281,1,6.64
554,10,281,1,5.1
555,19,281,2,5.24
556,9,282,1,4.52
557,13,282,1,6.64
558,17,282,1,6.13
559,14,283,1,5.75
560,11,284,1,5.77
561,18,284,2,6.73
562,3,285,2,5.42
563,18,286,1,6.73
564,10,286,1,5.1
565,6,286,2,5.68
566,2,287,2,4.79
567,20,287,2,7.14
568,18,287,1,6.73
569,18,288,2,6.73
570,7,288,2,6.72
571,13,288,1,6.64
572,15,289,2,7.23
573,6,290,2,5.68
574,1,290,2,6.83
575,2,291,2,4.79
576,20,291,1,7.14
577,2,292,2,4.79
578,1,292,1,6.83
579,10,293,1,5.1
580,7,294,2,6.72
581,9,294,1,4.52
582,5,295,2,5.19
583,2,295,2,4.79
584,14,296,1,5.75
585,15,296,2,7.23
586,10,297,2,5.1
587,2,297,1,4.79
588,10,298,2,5.1
589,10,299,2,5.1
590,8,299,1,7.22
591,20,300,1,7.14
592,19,300,2,5.24
593,3,300,1,5.42
594,19,301,1,5.24
595,2,302,2,4.79
596,2,303,2,4.79
597,15,303,2,7.23
598,17,303,2,6.13
599,9,304,1,4.52
600,12,304,2,6.4
601,10,304,1,5.1
602,1,305,1,6.83
603,1,306,1,6.83
604,20,307,2,7.14
605,5,307,2,5.19
606,15,308,1,7.23
607,7,309,2,6.72
608,12,309,2,6.4
609,14,309,1,5.75
610,4,310,2,6.15
611,19,310,2,5.24
612,1,311,2,6.83
613,2,312,2,4.79
614,10,312,2,5.1
615,14,312,2,5.75
616,17,313,1,6.13
617,16,314,1,5.15
618,3,315,2,5.42
619,2,316,2,4.79
620,10,317,1,5.1
621,18,318,2,6.73
622,14,318,1,5.75
623,1,319,2,6.83
624,6,320,1,5.68
625,10,320,2,5.1
626,2,321,2,4.79
627,1,321,2,6.83
628,12,322,2,6.4
629,19,322,2,5.24
630,4,322,2,6.15
631,20,323,1,7.14
632,8,323,1,7.22
633,17,324,1,6.13
634,3,325,2,5.42
635,6,325,1,5.68
636,19,326,2,5.24
637,10,326,1,5.1
638,2,326,1,4.79
639,14,327,1,5.75
640,15,327,2,7.23
641,9,328,1,4.52
642,7,328,1,6.72
643,15,329,2,7.23
644,13,330,1,6.64
645,3,330,2,5.42
646,16,331,2,5.15
647,17,331,1,6.13
648,19,331,1,5.24
649,20,332,2,7.14
650,2,332,1,4.79
651,15,333,1,7.23
652,11,333,1,5.77
653,20,333,2,7.14
654,10,334,2,5.1
655,10,335,1,5.1
656,12,335,1,6.4
657,3,336,1,5.42
658,11,336,1,5.77
659,16,336,1,5.15
660,16,337,2,5.15
661,17,337,2,6.13
662,19,338,2,5.24
663,9,339,2,4.52
664,5,340,1,5.19
665,8,340,1,7.22
666,4,341,2,6.15
667,8,342,1,7.22
668,3,343,1,5.42
669,9,343,2,4.52
670,19,343,2,5.24
671,13,344,2,6.64
672,16,344,2,5.15
673,19,345,2,5.24
674,17,346,2,6.13
675,18,346,1,6.73
676,10,347,2,5.1
677,13,347,1,6.64
678,11,347,1,5.77
679,5,348,2,5.19
680,14,348,2,5.75
681,17,349,1,6.13
682,5,349,1,5.19
683,7,349,2,6.72
684,2,350,2,4.79
685,16,351,1,5.15
686,13,351,1,6.64
687,8,351,1,7.22
688,11,352,1,5.77
689,1,352,2,6.83
690,8,353,2,7.22
691,2,354,2,4.79
692,15,355,1,7.23
693,1,356,1,6.83
694,4,356,1,6.15
695,5,357,2,5.19
696,13,358,2,6.64
697,12,359,1,6.4
698,7,360,2,6.72
699,6,360,2,5.68
700,12,361,2,6.4
701,11,361,1,5.77
702,4,362,1,6.15
703,19,362,2,5.24
704,2,362,1,4.79
705,11,363,1,5.77
706,11,364,1,5.77
707,3,364,2,5.42
708,11,365,1,5.77
709,19,365,1,5.24
710,2,365,2,4.79
711,16,366,1,5.15
712,10,366,2,5.1
713,12,367,2,6.4
714,11,368,1,5.77
715,16,368,2,5.15
716,4,369,2,6.15
717,13,370,1,6.64
718,2,370,1,4.79
719,19,371,1,5.24
720,6,372,2,5.68
721,4,373,2,6.15
722,19,373,2,5.24
723,10,374,2,5.1
724,7,375,1,6.72
725,18,376,2,6.73
726,20,376,1,7.14
727,19,377,2,5.24
728,12,378,2,6.4
729,7,379,1,6.72
730,6,379,2,5.68
731,14,380,2,5.75
732,16,380,1,5.15
733,6,380,1,5.68
734,6,381,2,5.68
735,11,381,2,5.77
736,5,381,1,5.19
737,3,382,1,5.42
738,17,382,2,6.13
739,18,382,2,6.73
740,14,383,2,5.75
741,10,384,2,5.1
742,12,384,1,6.4
743,4,384,1,6.15
744,6,385,1,5.68
745,5,386,2,5.19
746,3,386,2,5.42
747,15,386,2,7.23
748,14,387,2,5.75
749,15,388,1,7.23
750,5,388,2,5.19
751,6,389,1,5.68
752,17,390,1,6.13
753,7,390,2,6.72
754,4,390,1,6.15
755,8,391,2,7.22
756,15,392,2,7.23
757,7,392,2,6.72
758,9,392,1,4.52
759,18,393,2,6.73
760,12,393,2,6.4
761,5,393,1,5.19
762,14,394,2,5.75
763,17,394,1,6.13
764,5,394,1,5.19
765,2,395,2,4.79
766,16,395,2,5.15
767,11,396,1,5.77
768,15,396,1,7.23
769,1,397,1,6.83
770,1,398,1,6.83
771,18,398,2,6.73
772,12,398,1,6.4
773,13,399,2,6.64
774,3,399,2,5.42
775,5,399,1,5.19
776,13,400,1,6.64
777,3,401,2,5.42
778,2,401,2,4.79
779,16,402,1,5.15
780,14,403,1,5.75
781,17,403,1,6.13
782,17,404,2,6.13
783,12,405,2,6.4
784,19,405,1,5.24
785,4,406,1,6.15
786,18,407,1,6.73
787,10,407,1,5.1
788,20,407,1,7.14
789,17,408,2,6.13
790,11,408,2,5.77
791,13,408,2,6.64
792,9,409,2,4.52
793,8,409,2,7.22
794,10,409,2,5.1
795,10,410,1,5.1
796,7,410,2,6.72
797,12,411,2,6.4
798,12,412,2,6.4
799,6,412,2,5.68
800,16,412,2,5.15
801,8,413,1,7.22
802,17,413,1,6.13
803,7,414,2,6.72
804,7,415,1,6.72
805,2,415,2,4.79
806,5,415,2,5.19
807,16,416,2,5.15
808,6,416,2,5.68
809,4,416,2,6.15
810,6,417,1,5.68
811,15,418,1,7.23
812,19,419,1,5.24
813,2,420,1,4.79
814,7,421,1,6.72
815,20,421,2,7.14
816,7,422,2,6.72
817,2,422,1,4.79
818,17,422,1,6.13
819,6,423,2,5.68
820,19,423,1,5.24
821,1,423,2,6.83
822,11,424,2,5.77
823,16,424,1,5.15
824,15,425,1,7.23
825,16,426,2,5.15
826,3,426,2,5.42
827,20,426,1,7.14
828,16,427,1,5.15
829,20,427,1,7.14
830,9,427,1,4.52
831,3,428,2,5.42
832,14,428,2,5.75
833,8,428,2,7.22
834,9,429,1,4.52
835,10,430,2,5.1
836,13,431,2,6.64
837,7,431,1,6.72
838,16,431,2,5.15
839,15,432,2,7.23
840,10,433,2,5.1
841,6,433,1,5.68
842,12,433,2,6.4
843,2,434,1,4.79
844,14,434,1,5.75
845,17,434,2,6.13
846,5,435,1,5.19
847,11,436,1,5.77
848,20,436,2,7.14
849,2,437,2,4.79
850,3,437,2,5.42
851,17,438,1,6.13
852,3,438,1,5.42
853,19,438,2,5.24
854,10,439,2,5.1
855,1,440,1,6.83
856,9,440,1,4.52
857,15,441,2,7.23
858,13,442,1,6.64
859,1,443,2,6.83
860,3,444,2,5.42
861,7,444,2,6.72
862,7,445,2,6.72
863,9,445,2,4.52
864,5,446,1,5.19
865,8,446,1,7.22
866,9,446,1,4.52
867,5,447,1,5.19
868,15,448,2,7.23
869,19,448,1,5.24
870,8,449,2,7.22
871,16,449,1,5.15
872,12,450,1,6.4
873,20,451,1,7.14
874,9,451,1,4.52
875,19,451,1,5.24
876,20,452,1,7.14
877,19,452,1,5.24
878,11,452,2,5.77
879,11,453,1,5.77
880,9,454,1,4.52
881,17,454,1,6.13
882,9,455,1,4.52
883,10,455,1,5.1
884,16,456,2,5.15
885,4,456,2,6.15
886,1,457,1,6.83
887,4,458,1,6.15
888,13,458,1,6.64
889,19,459,1,5.24
890,4,460,2,6.15
891,11,460,2,5.77
892,5,461,2,5.19
893,3,461,1,5.42
894,4,461,2,6.15
895,6,462,1,5.68
896,17,462,2,6.13
897,14,462,2,5.75
898,11,463,1,5.77
899,7,464,1,6.72
900,3,464,2,5.42
901,3,465,2,5.42
902,11,465,1,5.77
903,2,466,1,4.79
904,4,466,2,6.15
905,15,467,1,7.23
906,18,468,1,6.73
907,8,468,1,7.22
908,16,468,2,5.15
909,6,469,2,5.68
910,5,469,1,5.19
911,13,470,1,6.64
912,11,470,1,5.77
913,16,470,2,5.15
914,14,471,2,5.75
915,4,472,2,6.15
916,5,473,1,5.19
917,17,474,2,6.13
918,18,474,1,6.73
919,1,474,1,6.83
920,15,475,1,7.23
921,1,476,2,6.83
922,10,476,1,5.1
923,12,476,1,6.4
924,11,477,2,5.77
925,8,477,2,7.22
926,15,477,2,7.23
927,15,478,2,7.23
928,17,479,2,6.13
929,19,479,2,5.24
930,5,479,1,5.19
931,6,480,2,5.68
932,10,480,1,5.1
933,17,481,1,6.13
934,19,482,2,5.24
935,12,482,1,6.4
936,16,482,2,5.15
937,1,483,2,6.83
938,11,483,1,5.77
939,20,483,1,7.14
940,4,484,1,6.15
941,9,484,2,4.52
942,12,484,2,6.4
943,13,485,1,6.64
944,9,485,1,4.52
945,19,485,2,5.24
946,8,486,1,7.22
947,14,487,1,5.75
948,3,487,1,5.42
949,1,488,2,6.83
950,8,488,2,7.22
951,4,489,1,6.15
952,20,490,2,7.14
953,5,490,1,5.19
954,15,491,1,7.23
955,13,492,1,6.64
956,18,493,2,6.73
957,2,493,1,4.79
958,14,493,1,5.75
959,9,494,2,4.52
960,20,494,1,7.14
961,15,494,1,7.23
962,13,495,1,6.64
963,5,495,2,5.19
964,9,496,1,4.52
965,20,497,1,7.14
966,8,497,2,7.22
967,3,497,2,5.42
968,1,498,2,6.83
969,7,498,2,6.72
970,1,499,1,6.83
971,18,499,2,6.73
972,15,499,1,7.23
973,17,500,2,6.13
974,1,501,1,6.83
975,4,502,2,6.15
976,7,502,2,6.72
977,9,502,2,4.52
978,6,503,2,5.68
979,5,504,2,5.19
980,13,505,1,6.64
981,18,506,1,6.73
982,3,506,2,5.42
983,9,506,1,4.52
984,16,507,1,5.15
985,14,507,2,5.75
986,3,508,1,5.42
987,7,509,1,6.72
988,17,509,2,6.13
989,6,510,1,5.68
990,8,510,2,7.22
991,4,510,1,6.15
992,16,511,1,5.15
993,20,511,2,7.14
994,5,511,2,5.19
995,7,512,1,6.72
996,13,512,1,6.64
997,14,513,1,5.75
998,2,513,2,4.79
999,16,513,2,5.15
1000,8,514,2,7.22
1001,19,515,2,5.24
1002,14,515,1,5.75
1003,6,515,2,5.68
1004,19,516,1,5.24
1005,10,517,2,5.1
1006,13,518,2,6.64
1007,16,519,2,5.15
1008,6,520,2,5.68
1009,19,520,1,5.24
1010,1,521,2,6.83
1011,6,521,1,5.68
1012,3,522,1,5.42
1013,11,523,2,5.77
1014,17,523,1,6.13
1015,7,524,1,6.72
1016,8,524,2,7.22
1017,17,525,1,6.13
1018,16,526,2,5.15
1019,9,527,2,4.52
1020,20,527,2,7.14
1021,8,528,1,7.22
1022,3,528,2,5.42
1023,5,528,1,5.19
1024,1,529,1,6.83
1025,8,530,2,7.22
1026,4,531,1,6.15
1027,19,531,1,5.24
1028,8,531,1,7.22
1029,16,532,2,5.15
1030,7,533,1,6.72
1031,18,534,1,6.73
1032,15,534,2,7.23
1033,19,535,1,5.24
1034,11,536,2,5.77
1035,3,536,1,5.42
1036,9,537,1,4.52
1037,3,538,1,5.42
1038,15,539,2,7.23
1039,11,539,2,5.77
1040,9,540,2,4.52
1041,4,540,1,6.15
1042,12,541,2,6.4
1043,9,541,1,4.52
1044,19,542,1,5.24
1045,9,542,1,4.52
1046,6,542,2,5.68
1047,1,543,2,6.83
1048,9,543,1,4.52
1049,10,544,1,5.1
1050,18,545,1,6.73
1051,19,545,2,5.24
1052,8,546,1,7.22
1053,11,546,1,5.77
1054,17,546,1,6.13
1055,10,547,2,5.1
1056,2,547,1,4.79
1057,3,548,2,5.42
1058,1,548,1,6.83
1059,17,549,2,6.13
1060,14,549,2,5.75
1061,15,550,2,7.23
1062,20,550,1,7.14
1063,18,551,1,6.73
1064,7,551,2,6.72
1065,1,552,2,6.83
1066,17,552,2,6.13
1067,11,552,1,5.77
1068,1,553,1,6.83
1069,3,553,2,5.42
1070,16,553,2,5.15
1071,5,554,1,5.19
1072,20,554,2,7.14
1073,1,555,1,6.83
1074,17,555,2,6.13
1075,5,555,1,5.19
1076,19,556,1,5.24
1077,20,556,2,7.14
1078,13,557,2,6.64
1079,7,558,2,6.72
1080,4,558,1,6.15
1081,14,558,2,5.75
1082,2,559,1,4.79
1083,18,560,2,6.73
1084,4,561,1,6.15
1085,4,562,2,6.15
1086,10,562,1,5.1
1087,5,562,1,5.19
1088,1,563,2,6.83
1089,7,563,2,6.72
1090,2,564,2,4.79
1091,14,564,1,5.75
1092,3,564,1,5.42
1093,9,565,1,4.52
1094,14,566,2,5.75
1095,10,566,1,5.1
1096,4,566,2,6.15
1097,2,567,1,4.79
1098,19,568,2,5.24
1099,19,569,1,5.24
1100,5,570,2,5.19
1101,3,571,2,5.42
1102,15,572,2,7.23
1103,4,572,2,6.15
1104,7,573,1,6.72
1105,3,574,2,5.42
1106,14,574,2,5.75
1107,15,575,1,7.23
1108,18,575,1,6.73
1109,19,576,1,5.24
1110,11,576,1,5.77
1111,8,577,1,7.22
1112,15,577,1,7.23
1113,5,578,2,5.19
1114,18,579,1,6.73
1115,19,579,2,5.24
1116,15,580,1,7.23
1117,3,581,1,5.42
1118,20,582,1,7.14
1119,5,583,1,5.19
1120,11,583,2,5.77
1121,3,584,2,5.42
1122,10,584,1,5.1
1123,17,584,1,6.13
1124,9,585,1,4.52
1125,12,585,2,6.4
1126,12,586,1,6.4
1127,3,587,1,5.42
1128,16,587,2,5.15
1129,3,588,2,5.42
1130,14,588,2,5.75
1131,12,589,1,6.4
1132,3,589,1,5.42
1133,10,590,1,5.1
1134,6,590,1,5.68
1135,8,591,2,7.22
1136,3,591,2,5.42
1137,6,591,2,5.68
1138,7,592,2,6.72
1139,5,592,2,5.19
1140,20,593,1,7.14
1141,11,593,2,5.77
1142,11,594,1,5.77
1143,7,594,2,6.72
1144,8,595,2,7.22
1145,7,596,2,6.72
1146,14,597,1,5.75
1147,5,598,1,5.19
1148,3,598,2,5.42
1149,15,598,2,7.23
1150,7,599,1,6.72
1151,5,600,1,5.19
